borough,below_c,n_epc_reachable,n_over_10k,avg_gap,median_cost_low,median_cost_mid,median_cost_high,avg_recs_to_c,already_at_c,pct_reachable,pct_over_10k,cost_range
Barking and Dagenham,7095,6419,1538,8.4,5340.0,7220.0,8558.0,3.2,5899,90.5,24.0,"£7,220 (£5,340–£8,558)"
Barnet,7817,6556,1109,8.6,4800.0,6041.0,7500.0,2.8,8885,83.9,16.9,"£6,041 (£4,800–£7,500)"
Bexley,3570,3107,557,7.5,4300.0,5522.0,7000.0,2.8,6276,87.0,17.9,"£5,522 (£4,300–£7,000)"
Brent,4773,4043,744,9.6,4800.0,9000.0,10000.0,2.7,8361,84.7,18.4,"£9,000 (£4,800–£10,000)"
Bromley,3836,3322,540,7.7,4220.0,6000.0,7200.0,2.6,7879,86.6,16.3,"£6,000 (£4,220–£7,200)"
Camden,7741,5735,694,8.9,4020.0,9000.0,12570.0,2.5,9689,74.1,12.1,"£9,000 (£4,020–£12,570)"
City of London,210,151,4,9.4,3300.0,5000.0,6530.0,2.3,236,71.9,2.6,"£5,000 (£3,300–£6,530)"
Croydon,7348,6161,1149,9.1,4800.0,6500.0,7595.0,2.9,10251,83.8,18.6,"£6,500 (£4,800–£7,595)"
Ealing,5912,4799,770,8.6,4800.0,6925.0,7650.0,2.9,8332,81.2,16.0,"£6,925 (£4,800–£7,650)"
Enfield,8516,7278,1448,9.7,4820.0,6500.0,7738.0,3.0,9429,85.5,19.9,"£6,500 (£4,820–£7,738)"
Greenwich,6073,4538,906,7.7,4525.0,6100.0,7235.0,2.7,11293,74.7,20.0,"£6,100 (£4,525–£7,235)"
Hackney,8166,6640,1077,7.8,4020.0,9000.0,11000.0,2.6,14665,81.3,16.2,"£9,000 (£4,020–£11,000)"
Hammersmith and Fulham,7703,6099,1010,8.1,4040.0,9000.0,11200.0,2.5,9876,79.2,16.6,"£9,000 (£4,040–£11,200)"
Haringey,7789,6613,1248,8.4,4810.0,7215.0,8625.0,2.8,9008,84.9,18.9,"£7,215 (£4,810–£8,625)"
Harrow,2611,2244,448,8.7,4908.0,7188.0,7975.0,2.7,4433,85.9,20.0,"£7,188 (£4,908–£7,975)"
Havering,3809,3058,622,7.8,4825.0,6398.0,7520.0,3.0,5373,80.3,20.3,"£6,398 (£4,825–£7,520)"
Hillingdon,5427,4683,1043,8.3,5500.0,7000.0,8200.0,2.7,7417,86.3,22.3,"£7,000 (£5,500–£8,200)"
Hounslow,4042,3269,561,7.8,4800.0,6315.0,7550.0,2.9,8002,80.9,17.2,"£6,315 (£4,800–£7,550)"
Islington,8845,6412,836,8.3,4010.0,8020.0,9860.0,2.4,13559,72.5,13.0,"£8,020 (£4,010–£9,860)"
Kensington and Chelsea,4820,3934,443,8.8,4000.0,9000.0,11212.0,2.4,6401,81.6,11.3,"£9,000 (£4,000–£11,212)"
Kingston upon Thames,2381,1956,255,8.0,4000.0,5500.0,7000.0,2.6,3908,82.2,13.0,"£5,500 (£4,000–£7,000)"
Lambeth,14101,10852,1395,8.7,4020.0,9000.0,11000.0,2.4,19132,77.0,12.9,"£9,000 (£4,020–£11,000)"
Lewisham,9159,7949,1261,7.2,4100.0,8000.0,10000.0,2.4,18168,86.8,15.9,"£8,000 (£4,100–£10,000)"
Merton,3090,2759,460,8.1,4800.0,6175.0,7450.0,2.9,4412,89.3,16.7,"£6,175 (£4,800–£7,450)"
Newham,8274,6609,1485,7.7,4850.0,6675.0,7572.0,2.9,12787,79.9,22.5,"£6,675 (£4,850–£7,572)"
Redbridge,3750,3312,627,8.6,4800.0,6675.0,7710.0,3.1,3830,88.3,18.9,"£6,675 (£4,800–£7,710)"
Richmond upon Thames,2379,2105,389,8.1,4365.0,6000.0,7210.0,2.8,3294,88.5,18.5,"£6,000 (£4,365–£7,210)"
Southwark,7063,5812,847,9.0,4025.0,6672.0,8070.0,2.8,11930,82.3,14.6,"£6,672 (£4,025–£8,070)"
Sutton,2988,2479,395,7.8,4500.0,6175.0,7530.0,2.5,7390,83.0,15.9,"£6,175 (£4,500–£7,530)"
Tower Hamlets,7649,5796,651,7.8,3050.0,4000.0,4890.0,2.8,14328,75.8,11.2,"£4,000 (£3,050–£4,890)"
Waltham Forest,5907,4716,871,8.1,4500.0,6020.0,7242.0,2.6,10773,79.8,18.5,"£6,020 (£4,500–£7,242)"
Wandsworth,6805,5615,991,8.6,4800.0,9000.0,10515.0,2.6,11009,82.5,17.6,"£9,000 (£4,800–£10,515)"
Westminster,5555,4181,556,9.2,4000.0,9000.0,11250.0,2.3,10198,75.3,13.3,"£9,000 (£4,000–£11,250)"
