borough,total_recommendations,properties_with_recs,total_optimistic_£m,total_central_£m,total_pessimistic_£m,per_home_optimistic_£,per_home_central_£,per_home_pessimistic_£,uncertainty_pct
Barking and Dagenham,43931,12155,117.71,157.2,196.69,9684.0,12933.0,16182.0,50.2
Haringey,44348,14338,117.32,174.66,231.99,8182.0,12181.0,16180.0,65.7
Merton,21544,6746,56.94,79.56,102.17,8441.0,11794.0,15146.0,56.8
Hillingdon,34270,10978,100.16,129.42,158.68,9123.0,11789.0,14454.0,45.2
Croydon,46188,15329,123.71,169.51,215.31,8070.0,11058.0,14046.0,54.0
Bromley,29561,10201,84.54,112.48,140.42,8287.0,11026.0,13766.0,49.7
Hammersmith and Fulham,43865,15911,110.02,173.9,237.79,6915.0,10930.0,14945.0,73.5
Harrow,16969,6017,50.74,65.05,79.35,8433.0,10810.0,13188.0,44.0
Redbridge,21662,6914,53.27,73.33,93.39,7705.0,10606.0,13508.0,54.7
Enfield,51076,16303,121.23,172.41,223.59,7436.0,10575.0,13715.0,59.4
Lewisham,58121,22886,159.9,241.06,322.23,6987.0,10533.0,14080.0,67.3
Greenwich,39598,14184,110.12,148.74,187.36,7764.0,10487.0,13209.0,51.9
Waltham Forest,36630,13608,98.38,142.64,186.9,7230.0,10482.0,13734.0,62.1
Richmond upon Thames,15446,5117,37.95,53.39,68.84,7416.0,10435.0,13454.0,57.9
Newham,47459,16517,127.53,171.13,214.73,7721.0,10361.0,13000.0,51.0
Kensington and Chelsea,27716,10425,69.93,107.68,145.42,6708.0,10329.0,13950.0,70.1
Havering,23952,8241,63.69,84.9,106.1,7728.0,10302.0,12875.0,50.0
Wandsworth,39101,14738,107.72,151.81,195.89,7309.0,10300.0,13292.0,58.1
Brent,30020,10932,80.25,111.49,142.73,7341.0,10199.0,13056.0,56.0
Lambeth,74194,29258,193.78,298.09,402.41,6623.0,10188.0,13754.0,70.0
Barnet,43740,14596,103.96,147.4,190.83,7122.0,10098.0,13074.0,58.9
Kingston upon Thames,16730,5653,39.97,56.55,73.13,7071.0,10004.0,12937.0,58.6
Hackney,51663,20454,141.01,203.94,266.87,6894.0,9971.0,13047.0,61.7
Westminster,32719,13315,87.14,131.0,174.86,6545.0,9839.0,13133.0,67.0
Bexley,25377,8643,65.32,84.8,104.27,7558.0,9811.0,12064.0,45.9
Ealing,34676,12128,86.04,116.29,146.54,7094.0,9588.0,12082.0,52.0
Hounslow,28378,9918,71.03,94.98,118.94,7161.0,9577.0,11992.0,50.4
Southwark,44485,16395,109.79,155.84,201.89,6696.0,9505.0,12314.0,59.1
Islington,46876,18589,118.29,171.89,225.48,6363.0,9247.0,12130.0,62.4
Sutton,22803,8763,60.73,81.0,101.26,6930.0,9243.0,11556.0,50.0
Camden,37499,14880,88.53,133.88,179.22,5950.0,8997.0,12045.0,67.7
,13,7,0.05,0.06,0.07,6873.0,8549.0,10226.0,39.2
Tower Hamlets,45136,18049,94.14,128.03,161.92,5216.0,7093.0,8971.0,52.9
City of London,933,389,1.66,2.21,2.76,4267.0,5687.0,7107.0,49.9
