borough,total_recs,cavity_wall_recs,solid_wall_recs,total_wall_recs,pct_solid_wall,pct_cavity_wall
,13,0,4,4,100.0,0.0
Wandsworth,39101,1688,7393,9081,81.4,18.6
Haringey,44348,1924,7900,9824,80.4,19.6
Hackney,51663,3170,11750,14920,78.8,21.2
Hammersmith and Fulham,43865,2721,10002,12723,78.6,21.4
Camden,37499,2099,7717,9816,78.6,21.4
Lambeth,74194,4752,16648,21400,77.8,22.2
Westminster,32719,2212,7445,9657,77.1,22.9
Southwark,44485,2267,7323,9590,76.4,23.6
Kensington and Chelsea,27716,2000,6324,8324,76.0,24.0
Lewisham,58121,3924,10985,14909,73.7,26.3
Islington,46876,3490,9509,12999,73.2,26.8
Greenwich,39598,1754,4516,6270,72.0,28.0
Brent,30020,1899,4862,6761,71.9,28.1
Waltham Forest,36630,2059,5261,7320,71.9,28.1
Merton,21544,1063,2494,3557,70.1,29.9
Richmond upon Thames,15446,898,2025,2923,69.3,30.7
Enfield,51076,3148,6192,9340,66.3,33.7
Redbridge,21662,1505,2776,4281,64.8,35.2
Croydon,46188,2783,4993,7776,64.2,35.8
Bromley,29561,1760,3018,4778,63.2,36.8
Barking and Dagenham,43931,3004,4590,7594,60.4,39.6
Kingston upon Thames,16730,1145,1576,2721,57.9,42.1
Harrow,16969,1142,1518,2660,57.1,42.9
Hounslow,28378,1838,2330,4168,55.9,44.1
Barnet,43740,3707,4654,8361,55.7,44.3
Newham,47459,4432,5502,9934,55.4,44.6
Havering,23952,1633,2019,3652,55.3,44.7
City of London,933,51,63,114,55.3,44.7
Ealing,34676,3359,4061,7420,54.7,45.3
Hillingdon,34270,2125,2264,4389,51.6,48.4
Tower Hamlets,45136,5241,5555,10796,51.5,48.5
Bexley,25377,1413,1193,2606,45.8,54.2
Sutton,22803,1781,1421,3202,44.4,55.6
