improvement_type,overall_avg_pts,n_properties,cost_low,cost_mid,cost_high,£_per_epc_point,£_per_epc_point_low,£_per_epc_point_high,cost_range,£_per_point_range
High heat retention storage heaters and dual immersion cylinder,8.83,4939,1060.5203103605659,1301.6278715959227,1542.7354328312795,147.0,120.0,175.0,"£1,302 (£1,061–£1,543)",£147 (£120–£175)
Change heating to gas condensing boiler,8.01,2926,3299.1648706896553,5280.913254310345,7262.661637931034,659.0,412.0,907.0,"£5,281 (£3,299–£7,263)",£659 (£412–£907)
Solar water heating,3.85,55039,4186.674949526324,5096.055288088212,6005.435626650101,1324.0,1087.0,1560.0,"£5,096 (£4,187–£6,005)","£1,324 (£1,087–£1,560)"
"Solar photovoltaic panels, 2.5 kWp",3.65,62397,5573.165393528452,6866.912711355249,8160.660029182044,1881.0,1527.0,2236.0,"£6,867 (£5,573–£8,161)","£1,881 (£1,527–£2,236)"
Insulate hot water cylinder with 80 mm jacket,3.45,3236,16.410884353741498,23.453061224489797,30.495238095238093,7.0,5.0,9.0,£23 (£16–£30),£7 (£5–£9)
Replace boiler with new condensing boiler,2.72,36659,2282.1474283860034,2645.346216942186,3008.5450054983685,973.0,839.0,1106.0,"£2,645 (£2,282–£3,009)","£973 (£839–£1,106)"
High heat retention storage heaters,2.65,7862,994.9408752895282,1226.356211142265,1457.771546995002,463.0,375.0,550.0,"£1,226 (£995–£1,458)",£463 (£375–£550)
Wind turbine,2.4,2058,2611.011101110111,4167.041704170417,5723.072307230723,1736.0,1088.0,2385.0,"£4,167 (£2,611–£5,723)","£1,736 (£1,088–£2,385)"
Flat roof or sloping ceiling insulation,2.4,19779,939.8470305938812,1195.9601829634073,1452.0733353329333,498.0,392.0,605.0,"£1,196 (£940–£1,452)",£498 (£392–£605)
50 mm internal or external wall insulation,2.21,105486,5435.715788336564,9581.164751567803,13726.613714799043,4335.0,2460.0,6211.0,"£9,581 (£5,436–£13,727)","£4,335 (£2,460–£6,211)"
Flat roof insulation,1.83,5659,921.4741770715096,1210.7370885357548,1500.0,662.0,504.0,820.0,"£1,211 (£921–£1,500)",£662 (£504–£820)
Upgrade heating controls,1.83,25160,356.07846461632363,399.4177884778407,442.7571123393578,218.0,195.0,242.0,£399 (£356–£443),£218 (£195–£242)
Draught proof single-glazed windows,1.74,20439,94.23605150214593,117.79399141630901,141.3519313304721,68.0,54.0,81.0,£118 (£94–£141),£68 (£54–£81)
Floor insulation (suspended floor),1.61,34152,1394.08281820213,1873.70782751173,2353.33283682133,1164.0,866.0,1462.0,"£1,874 (£1,394–£2,353)","£1,164 (£866–£1,462)"
Cavity wall insulation,1.53,41695,617.247746419275,1058.6238732096374,1500.0,692.0,403.0,980.0,"£1,059 (£617–£1,500)",£692 (£403–£980)
Increase loft insulation to 270 mm,1.49,19328,181.9538106235566,297.50346420323325,413.0531177829099,200.0,122.0,277.0,£298 (£182–£413),£200 (£122–£277)
Floor insulation,1.08,19252,800.0,1000.0,1200.0,926.0,741.0,1111.0,"£1,000 (£800–£1,200)","£926 (£741–£1,111)"
Replace single glazed windows with low-E double glazing,1.0,13803,3300.0,4900.0,6500.0,4900.0,3300.0,6500.0,"£4,900 (£3,300–£6,500)","£4,900 (£3,300–£6,500)"
Replace single glazed windows with low-E double glazed windows,0.99,26326,3916.191848305991,5185.840265836316,6455.4886833666405,5238.0,3956.0,6521.0,"£5,186 (£3,916–£6,455)","£5,238 (£3,956–£6,521)"
Party wall insulation,0.62,2864,320.3234501347709,460.1617250673854,600.0,742.0,517.0,968.0,£460 (£320–£600),£742 (£517–£968)
Low energy lighting for all fixed outlets,0.42,84378,28.30966304650515,28.643165241709475,28.976667436913797,68.0,67.0,69.0,£29 (£28–£29),£68 (£67–£69)
Increase hot water cylinder insulation,0.38,8462,16.690331787370674,23.62272565108812,30.555119514805565,62.0,44.0,80.0,£24 (£17–£31),£62 (£44–£80)
Floor insulation (solid floor),0.38,37540,4373.813228141959,5401.291207781548,6428.769187421137,14214.0,11510.0,16918.0,"£5,401 (£4,374–£6,429)","£14,214 (£11,510–£16,918)"
Heat recovery system for mixer showers,0.33,3891,597.0637487007738,727.0845363205913,857.1053239404089,2203.0,1809.0,2597.0,£727 (£597–£857),"£2,203 (£1,809–£2,597)"
Hot water cylinder thermostat,0.3,5222,208.77932505331827,289.67883577970144,370.57834650608453,966.0,696.0,1235.0,£290 (£209–£371),"£966 (£696–£1,235)"
Add additional 80 mm jacket to hot water cylinder,0.29,10378,16.88457300275482,23.822727272727274,30.760881542699725,82.0,58.0,106.0,£24 (£17–£31),£82 (£58–£106)
Fan-assisted storage heaters,0.23,1165,743.7083496667973,867.6597412779303,991.6111328890631,3772.0,3234.0,4311.0,£868 (£744–£992),"£3,772 (£3,234–£4,311)"
High performance external doors,0.22,2737,1652.834943301134,1688.8072238555228,1724.7795044099119,7676.0,7513.0,7840.0,"£1,689 (£1,653–£1,725)","£7,676 (£7,513–£7,840)"
Replacement glazing units,0.12,6856,1151.2384451291775,1348.8059966816782,1546.3735482341788,11240.0,9594.0,12886.0,"£1,349 (£1,151–£1,546)","£11,240 (£9,594–£12,886)"
Flue gas heat recovery in conjunction with boiler,0.1,5530,659.6675415573053,781.3560804899388,903.0446194225722,7814.0,6597.0,9030.0,£781 (£660–£903),"£7,814 (£6,597–£9,030)"
