improvement_type,overall_avg_pts,n_properties,Pre-1919,1930–1949,1950–1966,1967–1983,1991–2006,2007+
High heat retention storage heaters and dual immersion cylinder,8.83,4939,10.75,9.63,9.09,8.79,7.34,6.61
Change heating to gas condensing boiler,8.01,2926,11.98,11.86,9.0,7.44,4.22,4.56
Solar water heating,3.85,55039,3.81,3.7,4.04,3.9,3.8,3.86
"Solar photovoltaic panels, 2.5 kWp",3.65,62397,3.4,3.46,3.72,3.76,3.96,4.51
Insulate hot water cylinder with 80 mm jacket,3.45,3236,1.54,1.04,3.27,3.87,4.77,
Replace boiler with new condensing boiler,2.72,36659,2.87,2.88,2.73,2.66,2.43,2.09
High heat retention storage heaters,2.65,7862,3.61,3.71,2.68,2.7,2.11,1.89
Wind turbine,2.4,2058,2.39,2.39,2.38,2.45,2.39,
Flat roof or sloping ceiling insulation,2.4,19779,2.29,2.55,2.67,2.24,,
50 mm internal or external wall insulation,2.21,105486,2.1,2.04,2.8,2.8,2.61,
Flat roof insulation,1.83,5659,1.32,0.16,1.97,2.2,1.17,
Upgrade heating controls,1.83,25160,1.63,1.7,1.99,2.09,2.02,1.52
Draught proof single-glazed windows,1.74,20439,1.95,1.81,1.69,1.5,1.27,1.29
Floor insulation (suspended floor),1.61,34152,1.59,1.59,1.67,1.62,1.73,
Cavity wall insulation,1.53,41695,0.63,1.21,1.59,1.6,1.38,
Increase loft insulation to 270 mm,1.49,19328,1.48,1.69,1.52,1.43,1.37,0.81
Floor insulation,1.08,19252,1.29,1.21,0.96,0.95,1.0,
Replace single glazed windows with low-E double glazing,1.0,13803,1.02,1.17,1.05,0.93,0.8,
Replace single glazed windows with low-E double glazed windows,0.99,26326,0.95,0.91,1.12,1.06,1.03,1.17
Party wall insulation,0.62,2864,,,0.38,0.61,0.68,0.32
Low energy lighting for all fixed outlets,0.42,84378,0.37,0.45,0.4,0.44,0.45,0.47
Increase hot water cylinder insulation,0.38,8462,0.54,0.49,0.38,0.32,0.27,0.35
Floor insulation (solid floor),0.38,37540,0.22,0.26,0.41,0.46,0.5,
Heat recovery system for mixer showers,0.33,3891,0.38,0.19,0.25,0.19,0.43,0.45
Hot water cylinder thermostat,0.3,5222,0.29,0.27,0.28,0.32,0.31,
Add additional 80 mm jacket to hot water cylinder,0.29,10378,0.32,0.27,0.31,0.28,0.31,0.16
Fan-assisted storage heaters,0.23,1165,0.45,0.45,0.13,0.22,0.24,
High performance external doors,0.22,2737,0.09,0.02,0.39,0.23,0.23,
Replacement glazing units,0.12,6856,0.16,0.16,0.1,0.1,0.14,
Flue gas heat recovery in conjunction with boiler,0.1,5530,-0.05,0.44,-0.04,0.09,0.03,
